index_col,movie_id,movie_title (movie_year),genre
0,8,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short
1,10,La sortie des usines Lumière (1895),Documentary|Short
2,12,The Arrival of a Train (1896),Documentary|Short
3,25,The Oxford and Cambridge University Boat Race (1895),
4,91,Le manoir du diable (1896),Short|Horror
5,131,Une nuit terrible (1896),Short|Comedy|Horror
6,417,A Trip to the Moon (1902),Short|Action|Adventure|Comedy|Fantasy|Sci-Fi
7,439,The Great Train Robbery (1903),Short|Action|Crime|Western
8,443,"Hiawatha, the Messiah of the Ojibway (1903)",
9,628,The Adventures of Dollie (1908),Action|Short
10,833,The Country Doctor (1909),Short|Drama
11,1223,Frankenstein (1910),Short|Horror|Sci-Fi
12,1740,The Lonedale Operator (1911),Short|Drama|Romance
13,2101,Cleopatra (1912),Drama|History
14,2130,L'inferno (1911),Adventure|Drama|Fantasy|Horror
15,2354,Max et Jane veulent faire du théâtre (1911),Short|Comedy|Romance
16,2844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama
17,3740,Cabiria (1914),Adventure|Drama|History
18,3863,Dough and Dynamite (1914),Comedy|Short
19,4099,"His Majesty, the Scarecrow of Oz (1914)",Family|Fantasy|Adventure|Comedy
20,4100,His Musical Career (1914),Short|Comedy
21,4101,His New Profession (1914),Short|Comedy
22,4210,Laughing Gas (1914),Short|Comedy
23,4395,The New Janitor (1914),Short|Comedy
24,4413,The Ocean Waif (1916),Short|Comedy|Drama
25,4457,The Patchwork Girl of Oz (1914),Adventure|Family|Fantasy
26,4518,Recreation (1914),Comedy|Short
27,4546,The Rounders (1914),Comedy|Short
28,4936,The Bank (1915),Comedy|Short
29,4972,The Birth of a Nation (1915),Drama|History|War
30,5074,The Champion (1915),Short|Comedy|Sport
31,5078,The Cheat (1915),Drama
32,5530,L'héroïsme de Paddy (1915),
33,5571,A Jitney Elopement (1915),Short|Comedy
34,5960,Regeneration (1915),Biography|Crime|Drama|Romance
35,6177,The Tramp (1915),Short|Comedy
36,6206,Les vampires (1915),Action|Adventure|Crime|Drama|Mystery|Thriller
37,6333,"20,000 Leagues Under the Sea (1916)",Action|Adventure|Sci-Fi
38,6414,Behind the Screen (1916),Short|Comedy|Romance
39,6437,The Blacklist (1916),Drama
40,6684,The Fireman (1916),Short|Comedy
41,6689,The Floorwalker (1916),Short|Comedy
42,6864,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|History
43,7145,One A.M. (1916),Comedy|Family|Short
44,7162,The Pawnshop (1916),Comedy|Short
45,7264,The Rink (1916),Comedy|Short
46,7340,Shoes (1916),Drama
47,7507,The Vagabond (1916),Short|Comedy|Romance
48,7832,The Cure (1917),Short|Comedy
49,7880,Easy Street (1917),Short|Comedy
50,8133,The Immigrant (1917),Short|Comedy|Drama|Romance
51,8395,Otets Sergiy (1918),Biography|Drama|History
52,9018,A Dog's Life (1918),Short|Comedy|Drama
53,9340,The Man Who Woke Up (1918),
54,9678,Take a Chance (1918),Comedy|Short
55,9893,Die Austernprinzessin (1919),Comedy
56,9968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance
57,10180,Godovshchina revolyutsii (1918),Documentary
58,10193,The Greatest Question (1919),Drama
59,10247,Herr Arnes pengar (1919),Drama|History
60,10258,His Royal Slyness (1920),Comedy|Short
61,10323,Das Cabinet des Dr. Caligari (1920),Fantasy|Horror|Mystery|Thriller
62,10747,Sunnyside (1919),Comedy|Short
63,10806,True Heart Susie (1919),Comedy|Drama|Romance
64,10930,Young Mr. Jazz (1919),Comedy|Short
65,11130,Dr. Jekyll and Mr. Hyde (1920),Drama|Horror|Sci-Fi
66,11267,Headin' Home (1920),Biography|Comedy|Drama
67,11439,The Mark of Zorro (1920),Adventure|Romance|Western
68,11508,Neighbors (1920),Short|Comedy|Romance
69,11541,One Week (1920),Short|Comedy
70,11607,Prästänkan (1920),Comedy|Drama|Horror
71,11656,The Scarecrow (1920),Comedy|Short|Family
72,11717,The Son of Tarzan (1920),Action|Adventure
73,11841,Way Down East (1920),Drama|Romance
74,11870,Within Our Gates (1920),Drama|Romance
75,12224,The Goat (1921),Comedy|Short
76,12278,The 'High Sign' (1921),Short|Comedy
77,12349,The Kid (1921),Comedy|Drama|Family
78,12364,Körkarlen (1921),Drama|Fantasy|Horror
79,12494,Der müde Tod (1921),Drama|Fantasy|Thriller
80,12532,Orphans of the Storm (1921),Drama|History|Romance
81,12651,Schloß Vogeloed (1921),Crime|Drama|Horror|Mystery
82,12675,The Sheik (1921),Adventure|Drama|Romance
83,12844,White and Unmarried (1921),
84,13025,Cops (1922),Short|Comedy|Family
85,13086,"Dr. Mabuse, der Spieler (1922)",Crime|Mystery|Thriller
86,13099,The Electric House (1922),Short|Comedy
87,13140,Foolish Wives (1922),Drama|Thriller
88,13257,Häxan (1922),Documentary|Fantasy|Horror
89,13427,Nanook of the North (1922),Documentary
90,13442,Nosferatu (1922),Fantasy|Horror
91,13486,Pay Day (1922),Comedy|Short
92,13571,Salomé (1922),Biography|Drama|History|Horror
93,13626,La souriante Madame Beudet (1923),Drama
94,13741,Das Weib des Pharao (1922),Drama|History
95,13858,The Balloonatic (1923),Short|Comedy
96,14142,The Hunchback of Notre Dame (1923),Drama|Horror|Romance
97,14341,Our Hospitality (1923),Comedy|Romance|Thriller
98,14390,En rackarunge (1924),
99,14417,La roue (1923),Drama
100,14429,Safety Last! (1923),Comedy|Thriller
101,14497,Souls for Sale (1923),Comedy|Drama|Romance
102,14532,The Ten Commandments (1923),Biography|Drama|Fantasy
103,14538,Three Ages (1923),Comedy
104,14624,A Woman of Paris: A Drama of Fate (1923),Drama|Romance
105,14664,Alice's Spooky Adventure (1924),Animation|Short|Comedy
106,14872,Entr'acte (1924),Short
107,14972,He Who Gets Slapped (1924),Drama|Romance|Thriller
108,15002,Hot Water (1924),Comedy
109,15016,The Iron Horse (1924),History|Romance|Western
110,15039,Kinoglaz (1924),Documentary
111,15064,Der letzte Mann (1924),Drama
112,15163,The Navigator (1924),Action|Comedy|Romance
113,15174,Die Nibelungen: Kriemhilds Rache (1924),Adventure|Drama|Fantasy
114,15175,Die Nibelungen: Siegfried (1924),Adventure|Drama|Fantasy
115,15202,Orlacs Hände (1924),Crime|Horror|Mystery|Sci-Fi|Thriller
116,15233,En piga bland pigor (1924),Comedy|Drama
117,15310,The Sea Hawk (1924),Adventure|Drama|Romance
118,15324,Sherlock Jr. (1924),Action|Comedy|Romance
119,15361,Stachka (1925),Drama
120,15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance
121,15477,West of Hot Dog (1924),Short|Western|Comedy
122,15532,Die Abenteuer des Prinzen Achmed (1926),Animation|Adventure|Fantasy|Romance
123,15624,The Big Parade (1925),Drama|Romance|War
124,15648,Bronenosets Potyomkin (1925),Drama|History
125,15673,Shakhmatnaya goryachka (1925),Comedy|Short
126,15768,Du skal ære din hustru (1925),Drama
127,15772,De adelaar (1925),Action|Comedy|Drama|History|Romance
128,15864,The Gold Rush (1925),Adventure|Comedy|Drama|Family
129,15881,Greed (1924),Drama|Thriller|Western
130,16039,The Lost World (1925),Adventure|Fantasy|Sci-Fi
131,16172,"Oh, Doctor! (1925)",Comedy
132,16220,The Phantom of the Opera (1925),Horror
133,16230,The Pleasure Garden (1925),Drama|Romance
134,16332,Seven Chances (1925),Comedy|Romance
135,16361,Smouldering Fires (1925),Drama
136,16544,The Wizard of Oz (1925),Comedy|Family|Fantasy|Adventure
137,16600,Along Came Auntie (1926),Comedy|Short
138,16654,The Black Pirate (1926),Adventure|Action
139,16747,Crazy Like a Fox (1926),Short|Comedy
140,16847,Faust: Eine deutsche Volkssage (1926),Drama|Fantasy|Horror
141,16903,45 Minutes from Hollywood (1926),Short|Comedy
142,16954,Hell's Four Hundred (1926),
143,17075,The Lodger: A Story of the London Fog (1927),Crime|Drama|Mystery|Thriller
144,17136,Metropolis (1927),Drama|Sci-Fi
145,17196,Nana (1926),Drama|Romance
146,17350,The Scarlet Letter (1926),Drama
147,17378,Shinel (1926),Drama
148,17423,Sparrows (1926),Drama
149,17463,3 Bad Men (1926),Romance|Western
150,17668,Berlin: Die Sinfonie der Grosstadt (1927),Documentary
151,17729,Call of the Cuckoo (1927),Comedy|Short
152,17739,The Cat and the Canary (1927),Comedy|Horror|Mystery
153,17765,College (1927),Comedy|Drama|Sport
154,17825,Downhill (1927),Adventure|Drama|Thriller
155,17836,Duck Soup (1927),Comedy|Short
156,17841,"East Side, West Side (1927)",Drama
157,17843,Easy Virtue (1928),Romance|Thriller
158,17925,The General (1926),Action|Adventure|Comedy|Drama|War|Western
159,18033,It (1927),Comedy|Romance
160,18037,The Jazz Singer (1927),Drama|Music|Musical|Romance
161,18051,The Kid Brother (1927),Comedy|Drama|Family|Romance
162,18106,Love 'Em and Weep (1927),Comedy|Short
163,18192,Napoléon (1927),Biography|Drama|History|War
164,18217,Oktyabr (1928),Drama|History
165,18294,Putting Pants on Philip (1927),Comedy|Short
166,18328,The Ring (1927),Drama|Romance|Sport
167,18356,"Sailors, Beware! (1927)",Short|Comedy
168,18368,The Second 100 Years (1927),Comedy|Short
169,18452,Sugar Daddies (1927),Comedy|Short
170,18455,Sunrise: A Song of Two Humans (1927),Drama|Romance
171,18471,Tell It to the Marines (1926),Comedy|Drama|Romance
172,18505,Tretya meshchanskaya (1927),Comedy|Drama
173,18526,Underworld (1927),Crime|Drama|Film-Noir|Romance
174,18528,The Unknown (1927),Drama|Horror|Romance|Thriller
175,18578,Wings (1927),Drama|Romance|War|Action
176,18583,With Love and Hisses (1927),Comedy|Short
177,18684,Beggars of Life (1928),Adventure|Drama
178,18737,Die Büchse der Pandora (1929),Crime|Drama|Romance
179,18742,The Cameraman (1928),Comedy|Romance|Family|Drama
180,18773,The Circus (1928),Comedy|Romance
181,18806,The Crowd (1928),Drama|Romance
182,18839,The Docks of New York (1928),Crime|Drama|Film-Noir|Romance
183,18860,Early to Bed (1928),Comedy|Short
184,18876,The Farmer's Wife (1928),Comedy|Drama|Romance
185,18890,The Finishing Touch (1928),Comedy|Short
186,19071,The Last Command (1928),Drama|History|Romance|War
187,19074,"Laugh, Clown, Laugh (1928)",Drama
188,19079,Leave 'Em Laughing (1928),Comedy|Short
189,19109,Lonesome (1928),Comedy|Drama|Romance
190,19130,The Man Who Laughs (1928),Drama|Horror|Mystery|Romance|Thriller
191,19195,The Mysterious Lady (1928),Drama|Romance
192,19254,La passion de Jeanne d'Arc (1928),Biography|Drama|History
193,19286,Potomok Chingis-Khana (1928),Drama|War
194,19344,Sadie Thompson (1928),Drama
195,19376,Should Married Men Go Home? (1928),Comedy|Short
196,19412,Speedy (1928),Action|Comedy|Family
197,19415,Spione (1928),Romance|Thriller
198,19421,"Steamboat Bill, Jr. (1928)",Action|Comedy|Drama|Family|Romance
199,19422,Steamboat Willie (1928),Animation|Short|Comedy|Family|Musical
200,19429,Street Angel (1928),Drama
201,19465,Their Purple Moment (1928),Comedy|Short
202,19504,Two Tars (1928),Comedy|Short
203,19509,Underground (1928),Drama|Romance
204,19556,We Faw Down (1928),Comedy|Short
205,19585,The Wind (1928),Drama|Romance|Western
206,19591,A Woman of Affairs (1928),Drama
207,19607,You're Darn Tootin' (1928),Short|Comedy|Music
208,19686,Berth Marks (1929),Short|Comedy
209,19688,Big Business (1929),Short|Comedy|Family
210,19702,Blackmail (1929),Crime|Thriller
211,19729,The Broadway Melody (1929),Drama|Musical|Romance
212,19760,Chelovek s kino-apparatom (1929),Documentary|Music
213,19777,The Cocoanuts (1929),Comedy|Musical
214,19796,Daigaku wa detakeredo (1929),Comedy
215,19832,Double Whoopee (1929),Comedy|Short
216,19838,Drifters (1929),Documentary
217,19901,Frau im Mond (1929),Comedy|Drama|Romance|Sci-Fi
218,19957,Half Marriage (1929),Drama|Romance
219,19993,The Hollywood Revue of 1929 (1929),Musical
220,19999,The Hoose-Gow (1929),Comedy|Short
221,20030,The Iron Mask (1929),Adventure|Drama|History|Romance
222,20112,The Love Parade (1929),Comedy|Musical|Romance
223,20122,Lucky Star (1929),Drama|Romance
224,20142,The Manxman (1929),Drama|Romance
225,20161,Men O'War (1929),Short|Comedy|Family
226,20163,Menschen am Sonntag (1930),Comedy|Drama|Romance
227,20264,Perfect Day (1929),Short|Comedy
228,20286,Prapancha Pash (1929),Adventure|Drama|Romance
229,20471,Synthetic Sin (1929),Comedy
230,20475,Tagebuch einer Verlorenen (1929),Drama
231,20487,That's My Wife (1929),Comedy|Short
232,20489,They Go Boom! (1929),Comedy|Short
233,20514,The Trespasser (1929),Drama
234,20530,Un chien andalou (1929),Short|Fantasy|Horror
235,20531,Unaccustomed As We Are (1929),Comedy|Short
236,20572,Welcome Danger (1929),Comedy
237,20581,Where East Is East (1929),Drama|Romance
238,20585,Why Be Good? (1929),Comedy|Drama|Romance
239,20629,All Quiet on the Western Front (1930),Drama|War
240,20640,Animal Crackers (1930),Comedy|Musical
241,20641,Anna Christie (1930),Drama|Romance
242,20643,Another Fine Mess (1930),Comedy|Short
243,20678,Below Zero (1930),Short|Comedy
244,20686,The Big House (1930),Crime|Drama|Thriller
245,20691,The Big Trail (1930),Adventure|Romance|Western
246,20693,Billy the Kid (1930),Biography|Drama|Western
247,20697,Der blaue Engel (1930),Drama|Music
248,20698,Blotto (1930),Short|Comedy
249,20708,Brats (1930),Comedy|Short|Family
250,20768,City Girl (1930),Drama|Romance
251,20827,The Divorcee (1930),Romance|Drama
252,20859,Escape! (1930),Crime|Drama
253,20902,Free and Easy (1930),Comedy|Musical
254,20927,The Golf Specialist (1930),Short|Comedy|Sport
255,20960,Hell's Angels (1930),Drama|War
256,20979,Hog Wild (1930),Short|Comedy
257,20980,Hogaraka ni ayume (1930),Crime|Drama|Romance
258,20987,Hook Line and Sinker (1930),Comedy|Romance
